year,credits_base,credits_p50,credits_p90,revenue_base,revenue_p50,revenue_p90,revenue_low,revenue_high
2026,0,0,0,0,0,0,0,0
2027,0,0,0,0,0,0,0,0
2028,0,0,0,0,0,0,0,0
2029,16249.49129,0,0,519983.7212,0,0,357488.8083,731227.1079
2030,23516.57832,12583.60605,9091.655373,752530.5061,402675.3937,290932.972,517364.7229,1058246.024
2031,30811.13223,18211.23825,13157.61963,985956.2313,582759.6239,421043.8283,677844.909,1386500.95
2032,36214.76545,23860.1408,17238.95173,1158872.495,763524.5055,551646.4553,796724.84,1629664.445
2033,41772.39785,28044.71437,20262.30613,1336716.731,897430.8598,648393.7962,918992.7526,1879757.903
2034,47330.03024,32348.54489,23371.82368,1514560.968,1035153.437,747898.3579,1041260.665,2129851.361
2035,50878.84226,36652.37542,26481.34124,1628122.952,1172876.013,847402.9196,1119334.53,2289547.902
2036,52418.83392,39400.57545,28466.91576,1677402.686,1260818.414,910941.3044,1153214.346,2358847.527
2037,51488.00772,40593.14499,29328.54726,1647616.247,1298980.64,938513.5122,1132736.17,2316960.347
2038,49941.18485,39872.31318,28807.74627,1598117.915,1275914.022,921847.8807,1098706.067,2247353.318
2039,48086.36365,38674.45355,27942.29269,1538763.637,1237582.514,894153.3661,1057900,2163886.364
2040,45923.54412,37238.08001,26904.51281,1469553.412,1191618.56,860944.4099,1010317.971,2066559.486
2041,46001.58778,35563.19257,25694.40663,1472050.809,1138022.162,822221.0122,1012034.931,2070071.45
2042,39904.30271,35623.62958,25738.07237,1276937.687,1139956.146,823618.3158,877894.6597,1795693.622
2043,34656.87666,30901.89202,22326.61698,1109020.053,988860.5446,714451.7435,762451.2865,1559559.45
2044,30212.53715,26838.28528,19390.66112,966801.1888,858825.1291,620501.1558,664675.8173,1359564.172
2045,26410.66688,23396.58877,16904.03539,845141.34,748690.8406,540929.1323,581034.6713,1188480.009
2046,23122.77199,20452.42043,14776.87376,739928.7038,654477.4537,472859.9603,508700.9838,1040524.74
2047,20400.05659,17906.27463,12937.28342,652801.8107,573000.7882,413993.0695,448801.2449,918002.5464
2048,18160.28459,15797.80382,11413.91326,581129.107,505529.7222,365245.2243,399526.2611,817212.8067
2049,16183.668,14063.32439,10160.75187,517877.376,450026.3805,325144.0599,356040.696,728265.0601
2050,14417.57573,12532.6325,9054.826981,461362.4233,401044.24,289754.4634,317186.666,648790.9078
2051,14144.24798,11164.97064,8066.69129,452615.9354,357279.0606,258134.1213,311173.4556,636491.1592
2052,11315.39839,10953.30564,7913.763323,362092.7483,350505.7804,253240.4263,248938.7645,509192.9274
2053,9052.318709,8762.64451,6331.010658,289674.1987,280404.6243,202592.3411,199151.0116,407354.3419
2054,7241.854967,7010.115608,5064.808527,231739.3589,224323.6995,162073.8729,159320.8093,325883.4735
2055,0,5608.092486,4051.846821,0,179458.9596,129659.0983,0,0
